Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ)
ATLAS IRON LIMITED ,63110396168,58604,6195,883268
AURIZON HOLDINGS LTD ,14146335622,693224,429103,11856702
AUSCAN HOLDINGS PTY LIMITED ,70084400886,107747,41,1480369
AUSGRID ,67505337385,26393,942184,4179168
AUSNET SERVICES (TRANSMISSION) LTD ,48116124362,16929,1498281,4621302
AUSNET SERVICES HOLDINGS PTY LTD ,97086006859,152652,640784,2200014
AUSTIN HEALTH ,96237388063,15673,54990,471304
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD ,11005357522,8044,139449,625385
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED ,89069775266,8142,65197,350713
AUSTRALIAN GAS NETWORKS LIMITED ,19078551685,461486,183,26059
AUSTRALIAN NATIONAL UNIVERSITY ,52234063906,14921,83858,601250
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION ,47956969590,2759,66199,255130
AUSTRALIAN POSTAL CORPORATION ,28864970579,114556,181954,2425393
AUTOMOTIVE HOLDINGS GROUP LIMITED ,35111470038,191147,76417,3057307
AXIA ENERGY AUSTRALIA PTY LTD ,75108275216,460102,0,5563822
B.M.D. HOLDINGS PTY. LIMITED ,47010093348,56551,1206,819001
BAIADA PTY LIMITED ,47000426808,66188,132076,1487969
BARRICK (AUSTRALIA PACIFIC HOLDINGS) PTY LTD ,68085702558,60721,214235,1780731
BC IRON LIMITED ,21120646924,54647,60,788158
BEACH ENERGY LIMITED ,20007617969,52725,354,354152
BECHTEL (WESTERN AUSTRALIA) PTY LTD ,25147531226,154067,0,1724832
BECHTEL AUSTRALIA PROPRIETARY LIMITED ,42006334505,527498,3307,9731993
BEGA CHEESE LIMITED ,81008358503,48447,95577,1560227
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED ,86131104651,2056697,747256,35947897
BGC (AUSTRALIA) PTY LTD ,62005736005,125823,84996,2627182
BHCA PTY LIMITED ,99126164163,10939,53993,327922
BHP BILLITON ENERGY COAL AUSTRALIA PTY LTD ,79057364315,449281,85779,6375654
BHP BILLITON LIMITED ,49004028077,3297822,1519133,54514944
BIDVEST AUSTRALIA LIMITED ,33000228231,20445,48196,417705
BIG BEN HOLDINGS PTY. LIMITED ,63008434562,75787,23171,1052909
BLACKTOWN WASTE SERVICES PTY LIMITED ,21102860944,51807,88,12902
BLUESCOPE STEEL LIMITED ,16000011058,5588003,946532,68341573
BLUEWATERS POWER 1 PTY LTD ,93106034879,1482015,2327,10405567
BLUEWATERS POWER 2 PTY LTD ,57122896968,1377635,1775,9237658
BM ALLIANCE COAL OPERATIONS PTY LTD ,67096412752,2367370,1106678,24764822
BOC LIMITED ,95000029729,42287,544408,3469444
BORAL LIMITED ,13008421761,1712259,388936,14116876
BORG MANUFACTURING PTY LIMITED ,31003246357,34015,101018,1564934
BP AUSTRALIA INVESTMENTS PTY LTD ,66102991551,1389431,468664,30986613
BPIH PTY LIMITED ,61100364234,26747,24643,445546
BRADKEN LIMITED ,33108693009,21865,52782,658296
BRICKWORKS LTD ,17000028526,236645,103271,5124454
BROADSPECTRUM LIMITED ,69000484417,52619,23265,911374
CALEDON COAL PTY LIMITED ,40120967839,148596,24489,194748
CALTEX AUSTRALIA LIMITED ,40004201307,938680,197970,84698975
CARGILL AUSTRALIA LIMITED ,42004684173,101345,64949,2148703
CARTER HOLT HARVEY BUILDING PRODUCTS PTY LIMITED ,88121366041,52236,182850,7277998
CBH RESOURCES LIMITED ,27009423858,9179,76132,452456
CEMENT AUSTRALIA HOLDINGS PTY LTD ,99001085561,2632110,206137,12621137
CEMENT AUSTRALIA PTY LIMITED ,75104053474,37434,26652,662594
CENTENNIAL COAL COMPANY LIMITED ,30003714538,1459834,279808,1568924
CEVA PTY LTD ,27122147433,72970,28940,1154236
CHARTER HALL LIMITED ,57113531150,5965,83916,395789
CHEMCO PTY LTD ,68008725817,36857,149427,3220020
CHEVRON AUSTRALIA HOLDINGS PTY LTD ,60098079344,659356,10861,8319204
CIMIC GROUP LIMITED ,57004482982,77412,72142,1434467
CITIC PACIFIC MINING MANAGEMENT PTY LTD ,64119578371,468205,304,8705996
CKI UTILITIES DEVELOPMENT LTD & HEI UTILITIES DEVELOPMENT LTD & 3 OTHS ,13332330749,14229,507129,3169379
CLARKE ENERGY (AUSTRALIA) PTY. LTD. ,20086492935,125058,0,140222
CLEANAWAY WASTE MANAGEMENT LIMITED ,74101155220,456756,31841,3260839
CLIFFS NATURAL RESOURCES HOLDINGS PTY LTD ,69112437331,135137,315,1947102
CMOC MINING PTY LIMITED ,17164997317,17264,203145,1121185
COCA-COLA AMATIL LIMITED ,26004139397,49239,147631,1489707
COCKATOO COAL LIMITED ,13112682158,50769,379,565347
COLLINS TRANSPORT GROUP PTY LTD ,66098659342,47480,3517,696649
COMFORTDELGRO CABCHARGE PTY LTD ,84002072004,80323,3804,1163646
COMGEN AUSTRALIA PTY LTD ,17050242441,423540,13070,1142329
COMMONWEALTH BANK OF AUSTRALIA ,48123123124,8108,101125,546060
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION ,41687119230,14997,110530,696917
COMPETITIVE FOODS AUSTRALIA PTY LTD ,48010542908,17310,137195,891379
CONOCOPHILLIPS AUSTRALIA GAS HOLDINGS PTY LTD ,69081089170,2348618,2672,248981651
CONSOLIDATED MINERALS HOLDINGS (AUSTRALIA) PTY LTD ,88127662257,60523,122,885279
CONTRACT POWER AUSTRALIA PTY LTD ,48081538258,120768,0,1725404
CO-OPERATIVE BULK HANDLING LIMITED ,29256604947,9249,53836,387989
CRAIG MOSTYN HOLDINGS PTY LIMITED ,14008398356,34030,18874,437099
CRISTAL AUSTRALIA PTY LTD ,21102888559,65808,71626,1258081
CRISTAL INORGANIC CHEMICALS AUSTRALIA PTY LTD ,20125123784,131328,46179,1759317
CROWN RESORTS LIMITED ,39125709953,23991,153602,942440
CS ENERGY LIMITED2 ,54078848745,13131828,152430,94407427
CSL LIMITED ,99051588348,15078,73814,518084
CSR LIMITED ,90000001276,348304,233714,6563445
D&R HENDERSON PTY LTD ,22000449392,19866,43484,662045
DALRYMPLE BAY COAL TERMINAL PTY. LTD. ,12010268167,2732,94650,460973
DAVID JONES PTY LIMITED ,75000074573,5321,82204,362380
DBNGP (WA) TRANSMISSION PTY LIMITED ,69081609190,265017,1518,4635311
DEAKIN UNIVERSITY ,56721584203,8508,57375,336700
DELTA ELECTRICITY ,67139819642,6061800,51745,43774284
DEXUS HOLDINGS PTY LIMITED ,48110366946,15012,133574,703284
DIAMANTINA HOLDING COMPANY PTY LIMITED ,59149762130,613667,95,7090878
DORAL PTY LTD ,85008902841,17543,39892,456294
DOWNER EDI LIMITED ,97003872848,162624,49979,2970344
DP WORLD AUSTRALIA (HOLDING) PTY LTD ,58147892715,23419,50442,603873
EASTERN HEALTH ,68223819017,7743,49895,298156
EASTERN METROPOLITAN REGIONAL COUNCIL ,89631866056,114766,585,32640
ECOGEN HOLDINGS PTY LTD ,78102872524,68281,31479,1046448
ELECTRANET PTY LIMITED ,41094482416,733,219355,1301723
ELECTRICITY GENERATION AND RETAIL CORPORATION ,58673830106,7721908,7152,62318364
ELECTRICITY NETWORKS CORPORATION ,18540492861,45254,810442,4381799
ENDEAVOUR ENERGY ,59253130878,22390,590682,2677784
ENERGEX LIMITED ,40078849055,25544,926000,4412062
ENERGY DEVELOPMENTS LIMITED ,84053410263,1318296,2425,19988311
ENERGYAUSTRALIA HOLDINGS LIMITED ,57101876135,20595391,362447,164842542
ERGON ENERGY CORPORATION LIMITED ,50087646062,103373,663073,3944662
ERM POWER LIMITED ,28122259223,387164,5210,5551029
ESPERANCE POWER STATION PTY LTD ,24086409949,58134,0,857912
ESSENTIAL ENERGY ,37428185226,30639,851064,3913612
EVENT HOSPITALITY AND ENTERTAINMENT LTD ,51000005103,11505,135897,788311
EVOLUTION MINING (MUNGARI) PTY LTD ,90002124745,26786,52149,641736
EVOLUTION MINING LIMITED ,74084669036,80619,203565,2093446
EXXONMOBIL AUSTRALIA PTY LTD ,48091561198,2233680,249356,165233998
F & F MANAGEMENT PTY. LTD ,36133040721,1634,55284,247577
FAIRFAX MEDIA LIMITED ,15008663161,6241,43900,279427
FARSTAD SHIPPING (INDIAN PACIFIC) PTY. LTD. ,40105011989,202914,0,3066748
FIGELA PTY LTD,64303782037,70283,0,12335
FLETCHER BUILDING (AUSTRALIA) PTY LTD ,11093539452,79356,294700,3668234
FMR INVESTMENTS PTY LTD ,-,45178,13059,718527
FOOD INVESTMENTS PTY LTD ,85008426177,93950,142249,2220080
FORD MOTOR COMPANY OF AUSTRALIA LIMITED ,30004116223,19196,141036,784928
FORESTRY COMMISSION OF NEW SOUTH WALES ,43141857613,57756,1221,834140
FORTESCUE METALS GROUP LTD ,57002594872,1550294,374074,24361575
FOSTER'S GROUP PTY LTD ,49007620886,40439,79944,933357
FPW HOLDINGS AUSTRALIA PTY LTD ,55600457430,24111,50668,661754
FQM AUSTRALIA HOLDINGS PTY LTD ,77136613075,116654,27,2421838
FREIGHTLINER AUSTRALIA PTY LTD ,51122522123,51682,0,739383
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD ,27136262952,1313,109337,536416
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED ,36099027746,30571,30702,712613
FUJITSU AUSTRALIA LIMITED ,19001011427,1011,139217,576505
FULTON HOGAN AUSTRALIA PTY LTD ,42135849115,74098,18504,1292015
GENERAL MOTORS AUSTRALIA LTD ,85103162956,25819,80017,886235
GLADSTONE PORTS CORPORATION LIMITED ,96263788242,41842,69753,1044010
GLENCORE HOLDINGS PTY LIMITED ,41104160689,9017938,2097349,45279338
GLOBAL SWITCH AUSTRALIA PTY LIMITED ,65094338333,168,146439,613000
GOLD FIELDS AUSTRALIA PTY LTD ,91098385285,228289,140330,4240676
GOLDFIELDS POWER PTY LTD ,81062186243,134782,0,1820183
GPT MANAGEMENT HOLDINGS LIMITED ,67113510188,10784,132049,681483
GRAINCORP LIMITED ,60057186035,107651,170025,2431588
GRANGE RESOURCES LIMITED ,80009132405,202473,49990,4274178
GRIFFITH UNIVERSITY ,78106094461,1285,56011,269689
GWI HOLDINGS NO.2 PTY LTD ,53132989998,82767,2542,1209112
HAMSDALE AUSTRALIA PTY LIMITED ,37097393112,22028,30784,448512
HANCOCK PROSPECTING PTY LIMITED ,69008676417,445333,1919,3589779
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED ,48090994657,250210,61637,2950427
HARVEY NORMAN HOLDINGS LIMITED ,54003237545,6478,133619,649783
HEALTHSCOPE LIMITED ,65144840639,14394,94821,676661
HEWLETT-PACKARD SOUTH PACIFIC PTY LTD ,94121554489,636,104278,413188
HILLGROVE RESOURCES LIMITED ,73004297116,36504,27833,827994
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD ,46122401405,166644,64033,2693852
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED ,95003621216,9997,52319,413934
HRL LIMITED ,89061930756,100878,20335,1990469
HUNTER WATER CORPORATION ,46228513446,11923,41929,244961
HUNTSMAN CORPORATION AUSTRALIA PTY LIMITED ,67083984187,18422,72826,2167442
HYNE & SON PTY. LIMITED ,67009660995,5375,46288,2398002
IBM A/NZ HOLDINGS PTY LIMITED ,12105319248,597,75202,297633
ICON WATER LTD ,86069381960,65440,143990,852539
IDEMITSU AUSTRALIA RESOURCES PTY LTD ,45010236272,65890,75656,3246111
ILUKA RESOURCES LIMITED ,34008675018,161457,93549,2680733
INCITEC PIVOT LIMITED ,42004080264,1438290,180953,30740146
INDEPENDENCE GROUP NL ,46092786304,37180,18245,760260
INGHAMS ENTERPRISES PTY. LIMITED ,20008447345,60082,194298,1785187
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LTD ,70105041209,15779891,200948,133504198
INVESTA OFFICE MANAGEMENT HOLDINGS PTY LIMITED ,62126219903,4037,91039,436707
IPMG PTY LIMITED ,84123230259,11359,66209,475392
ISAAC PLAINS COAL MANAGEMENT PTY LTD ,76114277315,55560,13196,463796
ISPT PTY LTD ,28064041283,3589,53913,279479
IXOM HOLDCO PTY LTD ,36602722547,3017,58284,333665
J.J. RICHARDS & SONS PTY LTD ,40000805425,72328,5283,1067315
JBS HOLDCO AUSTRALIA PTY LTD ,89126211023,208196,206999,3173892
JBS SMALLGOODS HOLDCO PTY LTD ,32604293503,17896,82686,705768
JELLINBAH GROUP PTY LTD ,54010754793,199332,7790,1657328
JET SYSTEMS PTY. LIMITED ,34003469574,160805,1696,2319125
JKC AUSTRALIA LNG PTY LTD ,14154383409,49792,13662,808110
JOHN SWIRE & SONS PTY LTD ,88000106141,14323,62793,467688
KALARI PROPRIETARY LIMITED ,14004595395,53104,1229,767128
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD ,97009377619,201303,243574,4503534
KARARA MINING LIMITED ,68070871831,81467,380029,2993176
KEOLIS AUSTRALIA PTY LTD ,68132482850,2549,110214,361548
KILCOY INDUSTRIES AUSTRALIA PTY LTD ,16125927308,31995,18763,253070
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED ,59095905294,111251,59801,2464410
KNAUF AUSTRALIA PTY LTD3 ,86003621181,-,-,-
LA TROBE UNIVERSITY4 ,64804735113,22916,34153,488988
LDO COAL ,60140669932,468148,19843,104365
LEND LEASE CORPORATION LTD ,32000226228,74842,112181,1561725
LINDSAY AUSTRALIA LIMITED ,81061642733,104604,0,1540892
LINFOX PROPRIETARY LIMITED ,59004667298,214291,43449,3282858
LION PTY LTD ,50128004268,74362,192012,2187357
LOY YANG HOLDINGS PTY LTD ,60057361805,10218712,2028,81967841
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD ,74066270237,3,90547,226795
MACKAY SUGAR LIMITED ,12057463671,118706,9456,19401733
MACQUARIE GENERATION1  ,18402904344,3712311,12792,25703783
MANILDRA MILLING PTY LTD ,73002724021,286321,265145,6389426
MARS AUSTRALIA PTY LTD ,48008454313,33636,89086,948357
MATER MISERICORDIAE HEALTH SERVICES BRISBANE LIMITED ,83096708922,10842,40060,317667
MCALEESE LIMITED ,86156354068,231548,5167,3836490
MCCAIN FOODS (AUST) PTY LTD ,96000629587,30971,81133,1069183
MCDONALD'S AUSTRALIA LTD ,43008496928,1013,94831,402495
MELBOURNE WATER CORPORATION ,81945386953,253963,223916,1497639
METALS X LIMITED ,25110150055,50679,19958,837086
METCASH LIMITED ,32112073480,8530,85527,451305
METRO TRAINS MELBOURNE PTY LTD ,43136429948,6032,526595,1698792
METROPOLITAN HEALTH SERVICE ,13993250709,30429,144859,1284979
MINERAL RESOURCES LIMITED ,33118549910,84743,2391,1241382
MIRVAC LIMITED ,92003280699,9853,67507,435178
MMG MANAGEMENT PTY LTD ,33115312680,131341,337766,4245608
MONASH HEALTH ,82142080338,11432,67558,430086
MONASH UNIVERSITY ,12377614012,18542,112805,700567
MONDELEZ AUSTRALIA HOLDINGS PTY LTD ,86004880817,27503,62357,814565
MOUNT GIBSON IRON LIMITED ,87008670817,76334,1800,1121469
MULTINET GROUP HOLDINGS PTY LTD ,83104036937,273964,1356,872844
MURRAY GOULBURN CO-OPERATIVE CO. LIMITED ,23004277089,237834,300878,5261234
MYER HOLDINGS LIMITED ,14119085602,1874,166935,707151
NATIONAL AUSTRALIA BANK LIMITED ,12004044937,11309,130096,652454
NCIG HOLDINGS PTY LTD ,98124700483,2156,63697,298320
NESTLE AUSTRALIA LTD ,77000011316,35497,121912,1509495
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD ,23003502654,120434,138584,2763781
NEWCREST MINING LIMITED ,20005683625,528282,842728,13143292
NEWGEN KWINANA HOLDINGS PTY LTD ,68116576955,851682,3081,9177368
NEWMARKET GOLD VICTORIAN HOLDINGS PTY LTD ,21128442375,26144,152017,873144
NEWMONT AUSTRALIA HOLDINGS PTY LTD ,95099040507,366985,761127,8908040
NEWS AUSTRALIA HOLDINGS PTY LIMITED ,32105197028,4911,90372,452344
NEXTDC LIMITED ,35143582521,145,53567,198015
NH FOODS AUSTRALIA PTY LTD ,87001548401,73392,53221,913698
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED ,50003902985,235570,136482,8289238
NORTHERN STAR RESOURCES LIMITED ,43092832892,185683,82931,3637909
NORTON GOLD FIELDS LIMITED ,23112287797,68413,77661,1324987
NRG VICTORIA I PTY LTD ,26076286578,6301561,55547,47878292
NSW TRAINS ,50325560455,61533,163234,1608291
NUFARM LIMITED ,37091323312,11402,46554,349929
NYRSTAR AUSTRALIA PTY LTD ,46124535468,355837,286957,9072764
OLAM ORCHARDS AUSTRALIA PTY LTD ,15139442532,8629,96834,425041
ORICA LIMITED ,24004145868,1561244,283894,20778465
ORIGIN ENERGY LIMITED ,30000051696,16743130,399667,157816243
ORORA LIMITED ,55004275165,314074,324737,6519683
OWENS-ILLINOIS (AUSTRALIA) PTY LTD ,30002060059,301456,208709,5353096
OZ MINERALS LIMITED ,40005482824,180290,199209,3798773
OZGEN HOLDINGS AUSTRALIA PTY LTD2 ,34128655096,10345529,25158,74263522
PACT GROUP HOLDINGS LTD ,55145989644,12502,248693,1130989
PANORAMIC RESOURCES LIMITED ,47095792288,56987,13927,906915
PAPER AUSTRALIA PTY LTD ,63061583533,362902,296859,16270982
PARMALAT AUSTRALIA PTY LTD ,56072928879,46059,108014,1251868
PEABODY AUSTRALIA HOLDCO PTY LTD ,61154820130,3187053,306014,11061364
PEAK GOLD ASIA PACIFIC PTY LTD ,93103879054,9179,73363,448121
PECHINEY CONSOLIDATED AUSTRALIA PTY LTD ,39076569769,1123804,7070284,39518305
PERILYA LIMITED ,85009193695,12707,135065,772955
PFD FOOD SERVICES PTY LTD ,29006972381,28825,38088,548424
PMP LIMITED ,39050148644,11224,66302,468624
PORT WARATAH COAL SERVICES LTD ,99001363828,677,130083,553824
POWER AND WATER CORPORATION ,15947352360,100129,130373,1576300
POWER GENERATION CORPORATION ,72687980755,1136723,0,16279385
PRATT CONSOLIDATED HOLDINGS PTY. LTD. ,43104958581,338120,1040884,21309158
PTTEP AUSTRALIA PERTH PTY LTD ,74134686525,419079,538,5775949
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA ,61850109576,8378,98653,588596
PUMA ENERGY (AUSTRALIA) HOLDINGS PTY LTD ,26147978890,34940,25437,618510
QANTAS AIRWAYS LIMITED ,16009661901,4457927,155826,66000446
QCOAL PTY LTD ,99010911234,191427,31289,1507966
QENOS HOLDINGS PTY LTD ,62086026968,826276,175106,32149355
QIC LIMITED ,95942373762,5058,102222,475488
QNI RESOURCES PTY. LTD. ,14054117921,1169193,57109,16513745
QUADRANT ENERGY AUSTRALIA LTD ,39009301964,1305675,880,22557679
QUBE HOLDINGS LIMITED ,14149723053,266020,17188,3895069
QUEENSLAND ALUMINA LIMITED ,98009725044,3082372,621224,42198740
QUEENSLAND CURTIS LNG PTY LTD ,77130857215,131688,9,2282763
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED ,82078849233,16588,1265149,5667601
QUEENSLAND NITRATES PTY LTD ,63079889268,170496,45347,3016761
QUEENSLAND RAIL LIMITED ,71132181090,40461,217120,1545849
R.G. WITHERS NOMINEES PTY LTD ,-,653,128970,488755
RAMSAY HEALTH CARE LIMITED ,57001288768,15221,155396,935749
RATA INTERNATIONAL PTY LTD ,67109036580,9189,45442,314358
RATCH - AUSTRALIA CORPORATION LIMITED ,31106617332,94811,5803,1423071
RCI HOLDINGS PTY LTD ,55101671121,31896,63523,746605
REECE LIMITED ,49004313133,16585,33571,369381
REGIONAL EXPRESS HOLDINGS LIMITED ,18099547270,102503,0,1478958
REGIONAL POWER CORPORATION ,57955011697,82670,38543,1401773
REGIS RESOURCES LIMITED ,28009174761,186711,0,2685238
REMONDIS AUSTRALIA PTY LTD  ,95002429781,188726,4231,825567
RESOLUTE MINING LIMITED ,39097088689,17171,54253,492473
RICEGROWERS LIMITED ,55007481156,10112,89162,543266
RIDLEY CORPORATION LIMITED ,33006708765,58228,75564,1447836
RIO DOCE AUSTRALIA PTY LIMITED ,63112797403,1024443,76588,567483
RIO TINTO LIMITED ,96004458404,8992286,9358888,158806734
RITCHIES STORES PROPRIETARY LIMITED ,61005041814,18534,81399,304807
RON FINEMORE TRANSPORT PTY. LTD. ,30106495087,74384,507,1152913
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY4 ,49781030034,7873,72746,371725
SAIPEM (PORTUGAL) COMERCIO MARITIMO SOCIEDADE UNIPESSOAL LDA ,25100388458,75599,181,1031361
SANDFIRE RESOURCES NL ,55105154185,76647,140,1103581
SANTOS LTD ,80007550923,4244110,32932,41427371
SARACEN MINERAL HOLDINGS LIMITED ,52009215347,87451,60,1302138
SCENTRE GROUP LIMITED ,66001671496,10637,300250,1358963
SEALED AIR AUSTRALIA (HOLDINGS) PTY LIMITED ,74102261307,3062,47931,208582
SEAROAD HOLDINGS PTY LTD ,16123749655,49532,1159,690961
SEDCO FOREX INTERNATIONAL INC ,44188717522,71381,56,1036069
SGSP (AUSTRALIA) ASSETS PTY LTD ,60126327624,541062,372893,5140116
SIBELCO ASIA PACIFIC PTY LTD ,70092916811,662675,244925,5214721
SILICON METAL COMPANY OF AUSTRALIA PTY LTD ,73009401736,100874,458265,5133932
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED ,23070571934,65628,64492,1539786
SIMS METAL MANAGEMENT LIMITED ,69114838630,33287,33655,616306
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED ,69096686190,2675,389611,1590884
SNOWY HYDRO LIMITED ,17090574431,15488,126290,737444
SOJITZ COAL RESOURCES PTY LIMITED ,34063050680,79220,25,1154035
SONIC HEALTHCARE LIMITED ,24004196909,8326,59645,381618
SOUTH AUSTRALIAN WATER CORPORATION ,69336525019,61606,189276,1773574
SOUTH32 LIMITED ,84093732597,6381990,875529,61521645
SPOTLESS GROUP HOLDINGS LIMITED ,27154229562,46139,46285,1034838
ST BARBARA LIMITED ,36009165066,82923,1450,1439701
ST JOHN OF GOD HEALTH CARE INC ,21930207958,14038,55429,465764
ST VINCENT'S HEALTH AUSTRALIA LTD ,75073503536,10654,99902,570780
STANWELL CORPORATION LIMITED ,37078848674,14737132,49835,110325675
STATE TRANSIT AUTHORITY OF NSW ,51750635629,155988,8387,2489842
STOCKLAND CORPORATION LTD ,43000181733,26344,98802,779403
SUEZ RECYCLING & RECOVERY HOLDINGS PTY LIMITED ,18002658255,531244,36046,1308258
SUN METALS HOLDINGS LIMITED ,30051538580,4573,734704,3333527
SUNWATER LIMITED ,17020276523,3003,132786,633807
SUPER RETAIL GROUP LIMITED ,81108676204,894,83004,353653
SVITZER AUSTRALASIA SERVICES PTY LIMITED ,18120555375,51458,2814,747750
SYDNEY AIRPORT LIMITED ,18165056360,5349,82999,441265
SYDNEY TRAINS ,38284779682,10595,527790,2363536
SYDNEY WATER CORPORATION ,49776225038,70595,298622,2167126
TASMANIAN NETWORKS PTY LTD ,24167357299,7825,89612,1681363
TELSTRA CORPORATION LIMITED ,33051775556,52632,1312774,6069791
TEYS AUSTRALIA PTY LTD ,38009872600,155478,113202,1786410
THALES AUSTRALIA HOLDINGS PTY LTD ,84058583841,55097,42013,461620
THE STAR ENTERTAINMENT GROUP LIMITED ,85149629023,10042,97595,615954
THE TRUSTEE FOR COSTA'S UNIT TRUST ,72534822931,44742,65897,798374
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST ,63604564597,71432,366,181650
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW) ,77005284605,5590,61507,355579
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.) ,25548385225,15296,84286,618699
THE UNIVERSITY OF QUEENSLAND ,63942912684,2117,126468,591912
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LTD ,20105099849,27105,38094,624428
TIDEWATER MARINE INTERNATIONAL INC ,52101311451,65783,74,944058
TOGA PTY LTD ,27000926947,6706,59657,378265
TOLL HOLDINGS LIMITED ,25006592089,531423,81205,7949002
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED ,64009686097,34065,110828,975679
TRANSALTA ENERGY (AUSTRALIA) PTY LTD ,40062135844,769823,53,9989694
TRANSDEV AUSTRALASIA PTY LTD ,40079303816,120130,7642,1853728
TRANSGRID ,19622755774,17722,863754,3689533
TRANSIT SYSTEMS PTY LTD ,34135200609,80763,5527,1447026
TRANSURBAN HOLDINGS LIMITED ,86098143429,1256,54085,213139
TREASURY WINE ESTATES LIMITED ,24004373862,11562,45940,374597
TRILITY GROUP PTY LTD ,39144522565,4880,97115,527206
TRONOX MANAGEMENT PTY LTD ,59009343364,680269,152202,11252434
TT-LINE COMPANY PTY. LTD. ,39061996174,142391,1141,1836925
TWENTIETH SUPER PACE NOMINEES PTY. LTD. ,16005855327,82961,6582,1217437
UNITED ENERGY DISTRIBUTION HOLDINGS PTY LIMITED ,15104381660,9948,466463,1549521
UNIVERSITY OF MELBOURNE ,84002705224,15681,139862,722200
UNIVERSITY OF NEW SOUTH WALES ,57195873179,4734,69849,369098
UNIVERSITY OF SYDNEY ,15211513464,7739,88246,509600
USG BORAL BUILDING PRODUCTS PTY LIMITED ,84004231976,76486,42234,1700166
V/LINE PASSENGER CORPORATION ,-,92972,17526,1387251
